timeframe,minutes,linear,exponential,blended,confidence,reliability,severity,alert
30 minutes,30,222.00000000000006,242.41116032893407,203.40000000000003,0.6686422783318607,MEDIUM,CRITICAL,REVIEW
1 hour,60,294.0000000000001,391.75447101346793,250.80000000000007,0.6151805935642537,MEDIUM,CRITICAL,REVIEW
2 hours,120,438.0000000000002,450.0,336.60000000000014,0.5207391299595013,MEDIUM,CRITICAL,REVIEW
4 hours,240,726.0000000000005,450.0,378.0000000000002,0.37312589125693624,LOW,CRITICAL,MANUAL
8 hours,480,1302.000000000001,450.0,661.0000000000005,0.1915692201256044,LOW,CRITICAL,MANUAL
24 hours,1440,3606.000000000003,450.0,1193.8000000000009,0.013310890562387564,LOW,CRITICAL,MANUAL
