datetime,num_inflow_event1,arrival_rate,wait_time_minutes,queue_length_L,bottleneck_severity
2025-09-15 01:47:12,20,4.0,5.066002430555556,20.264009722222223,Light
2025-09-15 01:52:12,11,2.2,1.8842116666666666,4.145265666666667,Normal
2025-09-15 02:07:12,10,2.0,5.609036944444444,11.218073888888888,Light
2025-09-15 02:17:12,12,2.4,0.7160180555555555,1.7184433333333333,Normal
2025-09-15 02:27:12,19,3.8,0.8782708333333333,3.3374291666666664,Normal
2025-09-15 02:42:12,12,2.4,1.4151447222222222,3.3963473333333334,Normal
2025-09-15 02:47:12,10,2.0,6.3068775,12.613755,Light
2025-09-15 02:52:12,19,3.8,3.3457869444444444,12.713990388888888,Light
2025-09-15 03:07:12,5,1.0,1.09263,1.09263,Normal
2025-09-15 03:37:12,8,1.6,8.135307222222222,13.016491555555556,Light
2025-09-15 03:47:12,15,3.0,1.6585869444444445,4.975760833333334,Normal
2025-09-15 03:52:12,12,2.4,1.3907946296296294,3.3379071111111105,Normal
2025-09-15 03:57:12,10,2.0,1.5370475,3.074095,Normal
2025-09-15 04:07:12,11,2.2,1.675186388888889,3.685410055555556,Normal
2025-09-15 04:12:12,11,2.2,6.182976388888888,13.602548055555555,Light
2025-09-15 04:27:12,11,2.2,0.6956718055555555,1.5304779722222224,Normal
2025-09-15 04:32:12,13,2.6,1.1781144444444445,3.0630975555555557,Normal
2025-09-15 04:37:12,16,3.2,3.4399284722222228,11.007771111111113,Light
2025-09-15 04:42:12,15,3.0,0.4982772222222223,1.494831666666667,Normal
2025-09-15 04:47:12,20,4.0,1.1356166666666667,4.542466666666667,Normal
2025-09-15 04:52:12,16,3.2,0.42268824074074074,1.3526023703703705,Normal
2025-09-15 04:57:12,21,4.2,6.6793661111111104,28.053337666666664,Moderate
2025-09-15 05:07:12,11,2.2,2.6672058333333335,5.867852833333334,Normal
2025-09-15 05:17:12,16,3.2,8.3204725,26.625512,Moderate
2025-09-15 05:22:12,18,3.6,11.734569861111114,42.24445150000001,Moderate
2025-09-15 05:27:12,22,4.4,5.108741203703703,22.478461296296295,Light
2025-09-15 05:32:12,21,4.2,1.4949993055555557,6.278997083333334,Normal
2025-09-15 05:37:12,17,3.4,2.326160138888889,7.908944472222222,Normal
2025-09-15 05:42:12,26,5.2,1.9548634259259257,10.165289814814814,Light
2025-09-15 05:47:12,20,4.0,4.1904538888888885,16.761815555555554,Light
2025-09-15 05:52:12,17,3.4,2.2583647222222223,7.678440055555556,Normal
2025-09-15 06:02:12,28,5.6,3.0840329629629633,17.27058459259259,Light
2025-09-15 06:07:12,34,6.8,6.720396666666667,45.698697333333335,Moderate
2025-09-15 06:17:12,35,7.0,1.8416140972222224,12.891298680555556,Light
2025-09-15 06:22:12,41,8.2,1.3654996666666668,11.197097266666667,Light
2025-09-15 06:27:12,39,7.8,3.360305185185185,26.210380444444443,Moderate
2025-09-15 06:32:12,50,10.0,2.7151848148148146,27.151848148148147,Moderate
2025-09-15 06:37:12,43,8.6,1.097554861111111,9.438971805555553,Normal
2025-09-15 06:42:12,38,7.6,1.3721648611111112,10.428452944444444,Light
2025-09-15 06:47:12,38,7.6,8.7787235,66.7182986,Severe
2025-09-15 06:52:12,56,11.2,2.880113472222222,32.25727088888888,Moderate
2025-09-15 06:57:12,76,15.2,3.2384685185185185,49.22472148148148,Moderate
2025-09-15 07:02:12,63,12.6,2.014917888888889,25.3879654,Moderate
2025-09-15 07:07:12,77,15.4,2.846598240740741,43.83761290740741,Moderate
2025-09-15 07:12:12,70,14.0,1.086116111111111,15.205625555555555,Light
2025-09-15 07:17:12,66,13.2,2.7435703888888887,36.21512913333333,Moderate
2025-09-15 07:22:12,87,17.4,3.7998845555555554,66.11799126666666,Severe
2025-09-15 07:27:12,67,13.4,3.743740277777777,50.16611972222221,Severe
2025-09-15 07:32:12,80,16.0,0.9248969444444445,14.798351111111112,Light
2025-09-15 07:37:12,85,17.0,0.8613175,14.6423975,Light
2025-09-15 07:42:12,83,16.6,4.074843888888889,67.64240855555556,Severe
2025-09-15 07:47:12,79,15.8,2.4913679040404038,39.36361288383838,Moderate
2025-09-15 07:52:12,89,17.8,2.0337063541666667,36.199973104166666,Moderate
2025-09-15 07:57:12,107,21.4,2.4252177777777777,51.899660444444436,Severe
2025-09-15 08:02:12,73,14.6,4.462568090277778,65.15349411805556,Severe
2025-09-15 08:07:12,68,13.6,1.061479861111111,14.436126111111108,Light
2025-09-15 08:12:12,109,21.8,3.3386829861111114,72.78328909722222,Severe
2025-09-15 08:17:12,98,19.6,8.600644305555555,168.5726283888889,Critical
2025-09-15 08:22:12,97,19.4,0.8397774691358024,16.291682901234566,Light
